name,years,country,sector,position
Robert Andre,,France,,President of theSyndicat de Petrole
Ralph Assheton,,United Kingdom,,Member of Parliament; Former Parliamentary Secretary to Ministry of Supply; Former Financial Secretary to the Treasury
G. De Beaumont,,France,,Member of Parliament
Pierre Bonvoisin,,Belgium,,Banker; President of theBanque de la Societe Generale de Belgique(SGB)
Robert Boothy,,United Kingdom,,Member of Parliament
Max Brauer,,West Germany,,Former Mayor and President of the Land ofHamburg
Raffaele Cafiero,,Italy,,Senator
Walker L. Cisler,,United States,,"Public Utility Executive; President,Detroit Edison Co; Consultant toAtomic Energy CommissionandMutual Security Agency"
Gardner Cowles,,United States,,Publisher
Clement Davies,,United Kingdom,,Member of Parliament; Former Minister Chairman of ParliamentaryLiberal Party
Jean Drapier,,Belgium,,Lawyer
Roger Duchet,,France,,"Member of Parliament; Former Minister; Secretary General,Independents and Peasants Party"
Maurice Faure,,France,,Member of Parliament
John H. Ferguson,,United States,,"Lawyer; Vice-president and Executive Director, Committee for a National Trade Policy; Deputy Director,Policy Planning Staff,Department of State, 1951-1953"
John Foster,,United Kingdom,,Member of Parliament; ParliamentaryUndersecretary of State for Commonwealth Relations
Oliver Franks,,United Kingdom,,Former Ambassador inWashington; Chairman ofLloyd's Bank
Gerhard P. Th. Geyer,,West Germany,,Industrialist; Director General ofEsso
Colin Gubbins,,United Kingdom,,Major General; Formerly in Charge ofSpecial Operations Executive(SOE)
Denis Healey,,United Kingdom,,Member of Parliament; Former Secretary of the International Committee of theLabour Party
Henry John Heinz II,,United States,,"President,H.J. Heinz Co"
Leif Hoegh,,Norway,,Shipowner; Founder ofLeif Höegh & Co
C. D. Jackson,,United States,,Publisher; Formerly Special Assistant to PresidentEisenhower(1953-1954)
Nelson Dean Jay,,United States,,"Banker; Director,J. P. Morgan & Co Inc. New York"
Panagiotis Kanellopoulos,,Greece,,Member of Parliament; Minister of National Defense
V. J. Koningsberger,,Netherlands,,"Professor,State University Utrecht"
Ole Bjorn Kraft,,Denmark,,Member of Parliament; Former Minister of Foreign Affairs
Paul Leverkuehn,,West Germany,,Member of Parliament; Lawyer
Giovanni Malagodi,,Italy,,Member of Parliament
Finn Moe,,Norway,,"Member of Parliament; Chairman, Parliamentary Foreign Affairs Committee; Vice-President,Council of Europe"
H. Montgomery Hyde,,United Kingdom,,Member of Parliament
Roger Motz,,Belgium,,Senator; Chairman of theLiberal International; Former Chairman of theLiberal Party
Rudolf Mueller,,West Germany,,Lawyer
George C. McGhee,,United States,,"Industrialist Assistant Secretary of State for Near Eastern & South African Affairs (1949-1952); U.S. Ambassador and Chief, American Mission for Aid to Turkey (1951-1953)"
George Nebolsine,,United States,,"Lawyer; Consultant to Department of State and Economic Cooperation Administration (1948); Trustee, U.S. Council of International Chamber of Commerce"
H. Oosterhuis,,Netherlands,,Member of Parliament; President of the Netherlands Federation of Trade Unions
Cola G. Parker,,United States,,Industrialist; Member ofCommission on Foreign Economic Policy(Randall Commission)
George W. Perkins,,United States,,Industrialist;Assistant Secretary of State for European Affairs(1949-1953)
Harry Pilkington,,United Kingdom,,"President,Federation of British Industries"
Antoine Pinay,,France,,Member of Parliament; Former Prime Minister
Panagiotis Pipinelis,,Greece,,Former Foreign Minister; Former Ambassador to Soviet Union
Alberto Pirelli,,Italy,,Industrialist; Minister of State
Pietro Quaroni,,Italy,,Ambassador to France; Former Ambassador to the Soviet Union
Ludwig Rosenberg,,West Germany,,Chief of Department of Foreign Affairs of the Trade Unions
Paolo Rossi,,Italy,,Member of Parliament
Denis de Rougemont,,Switzerland,,"Author; Director, European Cultural Center"
Paul Rijkens,,United States,,Industrialist; Chairman ofUnilever N.V.
Ernst Georg Schneider,,United States,,"Industrialist; President, Chamber of Commerce of Düsseldorf"
"Joseph P. Spang, Jr.",,United States,,"Industrialist; President,The Gillette Co."
Max Steenberghe,,Netherlands,,FormerMinister of Economic Affairs of the Netherlands
Pierre-Henri Teitgen,,France,,Vice-president of the Council of Ministers
Terkel M. Terkelsen,,Denmark,,"Chief editor,Berlingske Tidende"
Herbert Tingsten,,Sweden,,"Chief editor,Dagens Nyheter"
H. Troeger,,West Germany,,Minister of Finance of Hesse
Vittorio Valletta,,Italy,,Industrialist; President ofFIAT
Andre Voisin,,France,,"President,La Federation"
H. F. van Walsem,,Netherlands,,Industrialist; Member of the Board ofPhilips IndustriesEindhoven
Jean Willems,,Belgium,,Fondation Universitaire
Thomas Williamson,,United Kingdom,,"General Secretary,National Union of General and Municipal Workers"
B. H. M. Vlekke,,Netherlands,,Secretary General of the Netherlands' Society of International Affairs
Raymond Aron,,France,,
David Astor,,United Kingdom,,
George Ball,,United States,,
Fritz Berg,,West Germany,,
Muharrem Nuri Birgi,,Turkey,,
Eugene R. Black Sr.,,United States,,
Robert R. Bowie,,United States,,
McGeorge Bundy,,United States,,
Hakon Christiansen,,Denmark,,
Walker Lee Cisler,,United States,,
Pierre Commin,,France,,
B. D. Cooke,,United Kingdom,,
Arthur Dean,,United States,,
Thomas E. Dewey,,United States,,
William Elliot,,United Kingdom,,
Fritz Erler,,West Germany,,
Amintore Fanfani,,Italy,,
John Ferguson,,United States,,
J. William Fulbright,,United States,,
Jean de la Garde,,France,,
Lincoln Gordon,,United States,,
F. A. de Graaff,,Netherlands,,
Lawrence Hafstad,,United States,,
Jens Christian Hauge,,Norway,,
Brooks Hays,,United States,,
Arnold Heeney,,Canada,,
Michael A. Heilprin,,United States,,
Leif Høegh,,Norway,,
Paul G. Hoffman,,United States,,
Charles Douglas Jackson,,United States,,
William H. Jackson,,United States,,
Per Jacobsson,,Sweden,,
George F. Kennan,,United States,,
Kurt Georg Kiesinger,,West Germany,,
Henry Kissinger,,United States,,
Piet Lieftinck,,Netherlands,,
Imbriani Longo,,Italy,,
Paul Martin,,Canada,,
David Maxwell,,United Kingdom,,
John J. McCloy,,United States,,
David J. McDonald,,United States,,
Ralph McGill,,United States,,
Adnan Menderes,,Turkey,,
Alexander Menne,,West Germany,,
Robert Daniel Murphy,,United States,,
Frank C. Nash,,United States,,
Paul Nitze,,United States,,
Allan Noble,,United Kingdom,,
Morehead Patterson,,United States,,
John Pomian,,United Kingdom,,
Don K. Price,,United States,,
Henry Lithgow Roberts,,United States,,
David Rockefeller,,United States,,
Herman van Roijen,,Netherlands,,
Dean Rusk,,United States,,
Paul Rykens,,Netherlands,,
J. L. S. Steel,,United Kingdom,,
Arthur Hays Sulzberger,,United States,,
Terkel Terkelsen,,Denmark,,
John M. Vorys,,United States,,
Marcus Wallenberg Jr.,,Sweden,,
Frazar Wilde,,United States,,
Alexander Wiley,,United States,,
Otto Wolff von Amerongen,,West Germany,,
W. T. Wren,,United Kingdom,,
Paul van Zeeland,,Belgium,,
Hermann Josef Abs,,West Germany,,
Dean Acheson,,United States,,
Gianni Agnelli,,Italy,,
Walworth Barbour,,United States,,
Wilfrid Baumgartner,,France,,
Edward Beddington-Behrens,,United Kingdom,,
Berthold Beitz,,West Germany,,
Pieter Blaisse,,Netherlands,,
James Boden,,West Germany,,
Erik Boheman,,Sweden,,
Warren Randolph Burgess,,United States,,
Louis Camu,,Belgium,,
Guido Carli,,Italy,,
Clifford P. Case,,United States,,
Victor Cavendish-Bentick,,United Kingdom,,
Ralph Cochrane,,United Kingdom,,
Erich Dethleffsen,,West Germany,,
Hugh Gaitskell,,United Kingdom,,
Walter L. Gordon,,Canada,,
Jo Grimmond,,United Kingdom,,
Walter Hallstein,,West Germany,,
Joseph C. Harsch,,United States,,
Gabriel Hauge,,United States,,
Michael Heilprin,,United States,,
Eelco van Kleffens,,Netherlands,,
Edward Knollys,,United Kingdom,,
Ole Kraft,,Denmark,,
Thorkil Kristensen,,Denmark,,
Philip Mosely,,United States,,
Alfred C. Neal,,United States,,
David Ormsby-Gorex,,United Kingdom,,
Frans Otten,,Netherlands,,
Alfred Roberts,,United Kingdom,,
Michael Ross,,United States,,
Jacques Rueff,,France,,
Carlo Schmid,,West Germany,,
Cortlandt V. R. Schuyler,,United States,,
J. L. S. Steele,,United Kingdom,,
Henry Tiarks,,United Kingdom,,
Every Vermeer,,Netherlands,,
Marcus Wallenberg,,Sweden,,
James David Zellerbach,,United States,,
