name,cohort,position
Frederick Ellsworth Mather,1833,New York State Assembly (1854–1857)
Phineas Timothy Miller,1833,physician
William Huntington Russell,1833,"Connecticut State Legislator, Major General[3]: 82"
Alphonso Taft,1833,"U.S. Attorney General (1876–1877), Secretary of War (1876), Ambassador to Austria-Hungary (1882) and Russia (1884–1885), father of William Howard Taft[3]: 82"
George Ingersoll Wood,1833,clergyman
Asahel Hooker Lewis,1833,newspaper editor and member of the Ohio General Assembly
John Wallace Houston,1834,"Secretary of State of Delaware (1841–1844), associate judge Delaware Superior Court (1855–1893)"
John Hubbard Tweedy,1834,delegate to the United States Congress from Wisconsin Territory (1847–1848)
William Henry Washington,1834,Whig U.S. Congressman from North Carolina (1841–1843)
John Edward Seeley,1835,US Representative from New York
Thomas Anthony Thacher,1835,Professor of Latin at Yale University (1842–1886)[3]: 47
Henry Champion Deming,1836,U.S. Representative from Connecticut[4]: 112
William Maxwell Evarts,1837,"U.S. Secretary of State, Attorney General, Senator, grandson of Roger Sherman[3]: 131, 199"
Chester Smith Lyman,1837,"astronomer, Yale professor of Industrial Mechanics and Physics"
Allen Ferdinand Owen,1837,US Representative from Georgia
Benjamin Silliman Jr.,1837,Yale professor of chemistry[3]: 64
Morrison Remmick Waite,1837,Chief Justice of the U.S. Supreme Court[3]: 89
Joseph B. Varnum Jr.,1838,Speaker of the New York State Assembly
Richard Dudley Hubbard,1839,"Governor of Connecticut, US Representative"
James Mason Hoppin,1840,professor emeritus at Yale
John Perkins Jr.,1840,"U.S. Representative from Louisiana, and then a senator in the Confederate States Congress"
William Taylor Sullivan Barry,1841,U.S. Representative from Mississippi[4]: 67
John Andrew Peters,1842,US Representative from Maine
Benjamin Tucker Eames,1843,US Representative from Rhode Island[4]: 69
Roswell Hart,1843,US Representative from New York
Henry Stevens,1843,bibliographer
Orris Sanford Ferry,1844,"US Senator from Connecticut, US Representative, US Brigadier General[4]: 70"
William Barrett Washburn,1844,"US Senator, Governor of Massachusetts."
Constantine Canaris Esty,1845,US Representative from Massachusetts[4]: 71
Richard Taylor,1845,"Confederate General, Louisiana State Senator"
Leonard Eugene Wales,1845,US District Court judge[4]: 71
Henry Baldwin Harrison,1846,Governor of Connecticut
Stephen Wright Kellogg,1846,US Representative from Connecticut
Rensselaer Russell Nelson,1846,US District Court judge[4]: 71
John Donnell Smith,1847,"botanical researcher, Captain in the Confederate Army[9]: 3"
Dwight Foster,1848,"Massachusetts Attorney General (1861–64), and a justice of the Massachusetts Supreme Judicial Court (1866–69)"
Augustus Brandegee,1849,US Representative from Connecticut.[11]: 87
Timothy Dwight V,1849,Yale President (1886–1899)[3]: 50
Francis Miles Finch,1849,"New York Court of Appeals judge, Cornell University professor[4]: 74"
Ellis Henry Roberts,1850,US Representative from New York[12]: 270
Richard Jacobs Haldeman,1851,Democratic member of the US House of Representatives from Pennsylvania[11]: 91
William Wallace Crapo,1852,US Representative from Massachusetts[13]: 3
Daniel Coit Gilman,1852,"president of the University of California, Johns Hopkins University, and the Carnegie Institution, founder of the Russell Trust Association[3]: 83–5"
George Griswold Sill,1852,Lieutenant Governor of Connecticut
Andrew Dickson White,1853,cofounder and first President of Cornell University
Carroll Cutler,1854,"President of Western Reserve College, now known as Case Western Reserve University."
Luzon Buritt Morris,1854,Governor of Connecticut
William DeWitt Alexander,1855,"educator, linguist, and surveyor of Hawaii"
Chauncey Depew,1856,"Vanderbilt railroad attorney, US Senator[3]: 165"
Eli Whitney Blake Jr.,1857,"American scientist and educator, great-nephew of Eli Whitney"
John Thomas Croxton,1857,"Civil War Brigadier General, United States Ambassador to Bolivia[11]: 103"
Moses Coit Tyler,1857,professor of history at Cornell University
Burton Norvell Harrison,1859,private secretary to Jefferson Davis[4]: 90
Eugene Schuyler,1859,"US Ambassador, author and translator[4]: 91"
Lowndes Henry Davis,1860,US Representative from Missouri
William Walter Phelps,1860,US Representative from New Jersey[4]: 92
Simeon E. Baldwin,1861,"Governor and Chief Justice of the State of Connecticut, son of Roger Sherman Baldwin[3]: 39"
