name,years,country,sector,position
Étienne Davignon,"2008,[2]2009,[3]2010,[4]2013[5]",BelgienBelgien,Politik/Wirtschaft,"Vizepräsident von Suez-Tractebel, ehemaliger Vizepräsident der Europäischen Kommission, Ehrenpräsident der Bilderberg-Konferenz"
Philippe Maystadt,"2009,[3]2010[4]",BelgienBelgien,Politik,Präsident derEuropäischen Investitionsbank(EIB) von 2000 bis 2011 (cdH)
Karel De Gucht,2010[4],BelgienBelgien,Politik,ehemaligerbelgischer Außenminister;EU-Kommissar für Entwicklung und humanitäre Hilfevon 2009 bis 2010
Poul Nyrup Rasmussen,2010[4],DanemarkDänemark,Politik,MinisterpräsidentvonDänemarkvon 1993 bis 2001 (Socialdemokraterne);MEPund Vorsitzender derSozialdemokratischen Partei Europas(SPE) seit 2004
Hans-Werner Sinn,2016[6],DeutschlandDeutschland,Wirtschaft,Professor für Nationalökonomie und Finanzwissenschaft an derLudwig-Maximilians-Universität München
Norbert Röttgen,"2014,[7]2023[8]",DeutschlandDeutschland,Politik,Vorsitzender desAuswärtigen Ausschusses
Kurt Biedenkopf,1992[9],DeutschlandDeutschland,Politik,Ministerpräsident des FreistaatesSachsenvon 1990 bis 2002
Ludwig Erhard,1966[10],DeutschlandDeutschland,Politik,Bundeskanzler der Bundesrepublik Deutschland 1963 bis 1966
Joschka Fischer,2008[1][2],DeutschlandDeutschland,Politik,Bundesminister des Auswärtigen von 1998 bis 2005 (Bündnis 90/Die Grünen)
Volker Perthes,2008,DeutschlandDeutschland,Politik,Vorsitzender der Stiftung Wissenschaft und Politik
Otto Graf Lambsdorff,"1980, 1982–1984[11]",DeutschlandDeutschland,Politik,Bundesminister für Wirtschaft1977 bis 1982 und von 1982 bis 1984; Bundesvorsitzender der FDP von 1988 bis 1993
Wolfgang Ischinger,"2002,[12]2012[13]",DeutschlandDeutschland,Politik,"Jurist,Völkerrechtlerund ehemaligerDiplomat, 2009–2022 Leiter derMünchner Sicherheitskonferenz"
Kurt Georg Kiesinger,1955[14],DeutschlandDeutschland,Politik,Bundeskanzler der Bundesrepublik Deutschland von 1966 bis 1969; Bundesvorsitzender der CDU von 1967 bis 1971
Helmut Schmidt,"1973,[15]1977,[16]1980[17]",DeutschlandDeutschland,Politik,Bundeskanzler der Bundesrepublik Deutschland 1974 bis 1982
Walter Scheel,1980–1985[18],DeutschlandDeutschland,Politik,Bundespräsident der Bundesrepublik Deutschland 1974 bis 1979
Helmut Kohl,"1980, 1982, 1988[19]",DeutschlandDeutschland,Politik,Bundeskanzler der Bundesrepublik Deutschland von 1982 bis 1998 sowie Parteivorsitzender der CDU 1973 bis 1998
Eckart von Klaeden,"2008,[2]2009[3]",DeutschlandDeutschland,Politik,"Außenpolitischer Sprecher der CDU/CSU-Bundestagsfraktion von 2005, Bundesschatzmeister derCDUvon 2006, Staatsminister bei der Bundeskanzlerin von 2009 bis 2013"
Roland Koch,"2009,[3]2012,[13]2013[5]",DeutschlandDeutschland,Politik,Ministerpräsident von Hessen(CDU) von 1999 bis 2010
Ursula von der Leyen,"2015,[20]2016,[21]2018,[22]2019",DeutschlandDeutschland,Politik,"Ministerin der Verteidigung von 2013–2019, seit 2019Präsidentin der Europäischen Kommission"
Christian Lindner,2013[5],DeutschlandDeutschland,Politik,"Vorsitzender des Landesverbandes und der Landtagsfraktion derFDP NRW, seit 7. Dezember 2013 Bundesvorsitzender derFDP"
Angela Merkel,2005[1][23],DeutschlandDeutschland,Politik,Bundesvorsitzende derCDUvon 2000 bis 2018 unddeutsche Bundeskanzlerinvon 2005 bis 2021
Wolfgang Schäuble,"unbekannt,[1]2016",DeutschlandDeutschland,Politik,Verschiedene Bundesminister-Posten von 1984 bis 2017; Vorsitzender derCDU/CSU-Bundestagsfraktionvon 1991 bis 2000
Klaus Schwab,2016,DeutschlandDeutschland,Wirtschaftswissenschaft,Gründer desWEF
Thomas de Maizière,2016,DeutschlandDeutschland,Politik,Bundesminister des Innern
Otto Schily,2005[1][23],DeutschlandDeutschland,Politik,Bundesminister des Innernvon 1998 bis 2005
Carlo Schmid,1955[14],DeutschlandDeutschland,Politik,Bundesminister für Angelegenheiten des Bundesrates und der Ländervon 1966 bis 1969; Einer der Väter desGrundgesetzes der Bundesrepublik Deutschland
Olaf Scholz,2010[4][24],DeutschlandDeutschland,Politik,"Bundesminister für Arbeit und Sozialesvon 2007 bis 2009, Bundeskanzler der Bundesrepublik Deutschland seit 2021 (SPD)"
Gerhard Schröder,2005[18][23],DeutschlandDeutschland,Politik,Bundeskanzler der Bundesrepublik Deutschland von 1998 bis 2005;MinisterpräsidentdesLandes Niedersachsen1990 bis 1998
"Gerhard Schröder (Politiker, 1910)",1971[25],DeutschlandDeutschland,Politik,Verschiedene Bundesminister-Posten von 1953 bis 1969
Jens Spahn,2017[26],DeutschlandDeutschland,Politik,Von 2015 bis 2018 Parlamentarischer Staatssekretär imBundesministerium der Finanzen; 2018–2021Bundesminister für Gesundheit
Frank Bsirske,2017[26],DeutschlandDeutschland,Gewerkschaft/Politik,"Von 2001 bis 2019 Vorsitzender der Gewerkschaftver.diund seit 1987 Mitglied der ParteiBündnis 90/Die Grünen,"
