source,target,relationship,organization,year
Frederick Ellsworth Mather,Phineas Timothy Miller,Skull and Bones cohort,Skull and Bones,1833
Frederick Ellsworth Mather,William Huntington Russell,Skull and Bones cohort,Skull and Bones,1833
Frederick Ellsworth Mather,Alphonso Taft,Skull and Bones cohort,Skull and Bones,1833
Frederick Ellsworth Mather,George Ingersoll Wood,Skull and Bones cohort,Skull and Bones,1833
Frederick Ellsworth Mather,Asahel Hooker Lewis,Skull and Bones cohort,Skull and Bones,1833
Phineas Timothy Miller,William Huntington Russell,Skull and Bones cohort,Skull and Bones,1833
Phineas Timothy Miller,Alphonso Taft,Skull and Bones cohort,Skull and Bones,1833
Phineas Timothy Miller,George Ingersoll Wood,Skull and Bones cohort,Skull and Bones,1833
Phineas Timothy Miller,Asahel Hooker Lewis,Skull and Bones cohort,Skull and Bones,1833
William Huntington Russell,Alphonso Taft,Skull and Bones cohort,Skull and Bones,1833
William Huntington Russell,George Ingersoll Wood,Skull and Bones cohort,Skull and Bones,1833
William Huntington Russell,Asahel Hooker Lewis,Skull and Bones cohort,Skull and Bones,1833
Alphonso Taft,George Ingersoll Wood,Skull and Bones cohort,Skull and Bones,1833
Alphonso Taft,Asahel Hooker Lewis,Skull and Bones cohort,Skull and Bones,1833
George Ingersoll Wood,Asahel Hooker Lewis,Skull and Bones cohort,Skull and Bones,1833
John Wallace Houston,John Hubbard Tweedy,Skull and Bones cohort,Skull and Bones,1834
John Wallace Houston,William Henry Washington,Skull and Bones cohort,Skull and Bones,1834
John Hubbard Tweedy,William Henry Washington,Skull and Bones cohort,Skull and Bones,1834
John Edward Seeley,Thomas Anthony Thacher,Skull and Bones cohort,Skull and Bones,1835
William Maxwell Evarts,Chester Smith Lyman,Skull and Bones cohort,Skull and Bones,1837
William Maxwell Evarts,Allen Ferdinand Owen,Skull and Bones cohort,Skull and Bones,1837
William Maxwell Evarts,Benjamin Silliman Jr.,Skull and Bones cohort,Skull and Bones,1837
William Maxwell Evarts,Morrison Remmick Waite,Skull and Bones cohort,Skull and Bones,1837
Chester Smith Lyman,Allen Ferdinand Owen,Skull and Bones cohort,Skull and Bones,1837
Chester Smith Lyman,Benjamin Silliman Jr.,Skull and Bones cohort,Skull and Bones,1837
Chester Smith Lyman,Morrison Remmick Waite,Skull and Bones cohort,Skull and Bones,1837
Allen Ferdinand Owen,Benjamin Silliman Jr.,Skull and Bones cohort,Skull and Bones,1837
Allen Ferdinand Owen,Morrison Remmick Waite,Skull and Bones cohort,Skull and Bones,1837
Benjamin Silliman Jr.,Morrison Remmick Waite,Skull and Bones cohort,Skull and Bones,1837
James Mason Hoppin,John Perkins Jr.,Skull and Bones cohort,Skull and Bones,1840
Benjamin Tucker Eames,Roswell Hart,Skull and Bones cohort,Skull and Bones,1843
Benjamin Tucker Eames,Henry Stevens,Skull and Bones cohort,Skull and Bones,1843
Roswell Hart,Henry Stevens,Skull and Bones cohort,Skull and Bones,1843
Orris Sanford Ferry,William Barrett Washburn,Skull and Bones cohort,Skull and Bones,1844
Constantine Canaris Esty,Richard Taylor,Skull and Bones cohort,Skull and Bones,1845
Constantine Canaris Esty,Leonard Eugene Wales,Skull and Bones cohort,Skull and Bones,1845
Richard Taylor,Leonard Eugene Wales,Skull and Bones cohort,Skull and Bones,1845
Henry Baldwin Harrison,Stephen Wright Kellogg,Skull and Bones cohort,Skull and Bones,1846
Henry Baldwin Harrison,Rensselaer Russell Nelson,Skull and Bones cohort,Skull and Bones,1846
Stephen Wright Kellogg,Rensselaer Russell Nelson,Skull and Bones cohort,Skull and Bones,1846
Augustus Brandegee,Timothy Dwight V,Skull and Bones cohort,Skull and Bones,1849
Augustus Brandegee,Francis Miles Finch,Skull and Bones cohort,Skull and Bones,1849
Timothy Dwight V,Francis Miles Finch,Skull and Bones cohort,Skull and Bones,1849
William Wallace Crapo,Daniel Coit Gilman,Skull and Bones cohort,Skull and Bones,1852
William Wallace Crapo,George Griswold Sill,Skull and Bones cohort,Skull and Bones,1852
Daniel Coit Gilman,George Griswold Sill,Skull and Bones cohort,Skull and Bones,1852
Carroll Cutler,Luzon Buritt Morris,Skull and Bones cohort,Skull and Bones,1854
Eli Whitney Blake Jr.,John Thomas Croxton,Skull and Bones cohort,Skull and Bones,1857
Eli Whitney Blake Jr.,Moses Coit Tyler,Skull and Bones cohort,Skull and Bones,1857
John Thomas Croxton,Moses Coit Tyler,Skull and Bones cohort,Skull and Bones,1857
Burton Norvell Harrison,Eugene Schuyler,Skull and Bones cohort,Skull and Bones,1859
Lowndes Henry Davis,William Walter Phelps,Skull and Bones cohort,Skull and Bones,1860
Simeon E. Baldwin,Anthony Higgins,Skull and Bones cohort,Skull and Bones,1861
Simeon E. Baldwin,Edward Rowland Sill,Skull and Bones cohort,Skull and Bones,1861
Anthony Higgins,Edward Rowland Sill,Skull and Bones cohort,Skull and Bones,1861
Daniel Henry Chamberlain,Franklin MacVeagh,Skull and Bones cohort,Skull and Bones,1862
Henry Farnum Dimock,William Collins Whitney,Skull and Bones cohort,Skull and Bones,1863
Charles Fraser MacLean,John William Sterling,Skull and Bones cohort,Skull and Bones,1864
John Manning Hall,George Chandler Holt,Skull and Bones cohort,Skull and Bones,1866
Henry Morton Dexter,Albert Elijah Dunning,Skull and Bones cohort,Skull and Bones,1867
Henry Morton Dexter,Thomas Hedge,Skull and Bones cohort,Skull and Bones,1867
Henry Morton Dexter,George Peabody Wetmore,Skull and Bones cohort,Skull and Bones,1867
Albert Elijah Dunning,Thomas Hedge,Skull and Bones cohort,Skull and Bones,1867
Albert Elijah Dunning,George Peabody Wetmore,Skull and Bones cohort,Skull and Bones,1867
Thomas Hedge,George Peabody Wetmore,Skull and Bones cohort,Skull and Bones,1867
Chauncey Bunce Brewster,LeBaron Bradford Colt,Skull and Bones cohort,Skull and Bones,1868
Wilson Shannon Bissell,Presidential appointee,Skull and Bones cohort,Skull and Bones,1869
Frederick Collin,Edwin Forrest Sweet,Skull and Bones cohort,Skull and Bones,1871
Frederick Collin,Thomas Thacher,Skull and Bones cohort,Skull and Bones,1871
Frederick Collin,William Kneeland Townsend,Skull and Bones cohort,Skull and Bones,1871
Edwin Forrest Sweet,Thomas Thacher,Skull and Bones cohort,Skull and Bones,1871
Edwin Forrest Sweet,William Kneeland Townsend,Skull and Bones cohort,Skull and Bones,1871
Thomas Thacher,William Kneeland Townsend,Skull and Bones cohort,Skull and Bones,1871
