name,cohort_year,position,century
Frederick Ellsworth Mather,1833,New York State Assembly (1854–1857)[2],19th
Phineas Timothy Miller,1833,physician[2],19th
William Huntington Russell,1833,"Connecticut State Legislator, Major General[3]: 82",19th
Alphonso Taft,1833,"U.S. Attorney General (1876–1877), Secretary of War (1876), Ambassador to Austria-Hungary (1882) and Russia (1884–1885), father of William Howard Taft[3]: 82",19th
George Ingersoll Wood,1833,clergyman[2],19th
Asahel Hooker Lewis,1833,newspaper editor and member of the Ohio General Assembly[2],19th
John Wallace Houston,1834,"Secretary of State of Delaware (1841–1844), associate judge Delaware Superior Court (1855–1893)[2]",19th
John Hubbard Tweedy,1834,delegate to the United States Congress from Wisconsin Territory (1847–1848)[2],19th
William Henry Washington,1834,Whig U.S. Congressman from North Carolina (1841–1843)[2],19th
John Edward Seeley,1835,US Representative from New York[2],19th
Thomas Anthony Thacher,1835,Professor of Latin at Yale University (1842–1886)[3]: 47,19th
Henry Champion Deming,1836,U.S. Representative from Connecticut[4]: 112,19th
William Maxwell Evarts,1837,"U.S. Secretary of State, Attorney General, Senator, grandson of Roger Sherman[3]: 131, 199 [5]",19th
Chester Smith Lyman,1837,"astronomer, Yale professor of Industrial Mechanics and Physics[2]",19th
Allen Ferdinand Owen,1837,US Representative from Georgia[2],19th
Benjamin Silliman Jr.,1837,Yale professor of chemistry[3]: 64,19th
Morrison Remmick Waite,1837,Chief Justice of the U.S. Supreme Court[3]: 89,19th
Joseph B. Varnum Jr.,1838,Speaker of the New York State Assembly[2],19th
Richard Dudley Hubbard,1839,"Governor of Connecticut, US Representative[2]",19th
James Mason Hoppin,1840,professor emeritus at Yale[6],19th
John Perkins Jr.,1840,"U.S. Representative from Louisiana, and then a senator in the Confederate States Congress[2]",19th
William Taylor Sullivan Barry,1841,U.S. Representative from Mississippi[4]: 67,19th
John Andrew Peters,1842,US Representative from Maine[7],19th
Benjamin Tucker Eames,1843,US Representative from Rhode Island[4]: 69,19th
Roswell Hart,1843,US Representative from New York[2],19th
Henry Stevens,1843,bibliographer[8],19th
Orris Sanford Ferry,1844,"US Senator from Connecticut, US Representative, US Brigadier General[4]: 70",19th
William Barrett Washburn,1844,"US Senator, Governor of Massachusetts.[2]",19th
Constantine Canaris Esty,1845,US Representative from Massachusetts[4]: 71,19th
Richard Taylor,1845,"Confederate General, Louisiana State Senator[2]",19th
Leonard Eugene Wales,1845,US District Court judge[4]: 71,19th
Henry Baldwin Harrison,1846,Governor of Connecticut[2],19th
